id;tipo;edad;num_serie;matricula
1;Corporativo bandwidt;19353;"ujLwzFxJ9T9Wv";"sh-MCX-zWI-BTV-CDL"
2;Turquia bandwidth in;29060;"WlCX0X4KHbJ7J";"Sd-XAD-4cx-no9"
3;Colonia drive;30589;"921nDQopfrY61";"uo-q7p-HkQ-d5B-qvS"
4;middleware Berkshire;43509;"HD3It1Nv8hPIv";"eG-O0O-360-frQ"
5;matrix Web por;4932;"AaIXNdMDXLK27";"DH-VLI-GKP-HGs-y1z-qzJ"
6;redundant synthesizi;20489;"YyXkUTLaSpV7E";"Cq-fa7-MIm-pTs-lxk-L7N"
7;Producto Personal;77608;"CQHVYIqDtbrf2";"Tw-p6w-huO-gKV"
8;input Guapa;13481;"AKXyccIXxkrC5";"9T-1dI"
9;implement Director;43448;"1YeTqu6Xv8RdF";"eC-8QJ"
10;AI compelling;9888;"snHa4zmHvcTfT";"3Y"
